Latitude,Longitude,Cd (mg/kg),Cr (mg/kg),Ni (mg/kg),Pb (mg/kg),Zn (mg/kg),Cu (mg/kg),Co (mg/kg)
-28.0131,32.2691,0.0270,0.0820,3.7110,1.9350,4.9000,67.2900,17.4100
-28.358,32.1947,0.0110,0.0980,5.9490,1.0210,1.3000,9.8000,12.0900
-28.1306,32.2883,0.0050,0.0810,0.7730,1.3060,0.1100,1.5600,5.0300
-28.3555,32.1943,0.0060,0.1010,5.0050,2.0540,0.4000,13.2600,15.6400
-28.6732,31.9052,0.0130,0.0910,3.4300,2.9060,0.7200,20.5200,32.4300
-28.6936,31.877,0.0180,0.0930,3.7850,1.7920,0.2300,19.1100,12.2800
-28.809,31.9549,0.0050,0.2150,0.2050,3.6050,0.1800,1.2900,0.6300
-28.1837,32.3059,0.0060,0.1020,0.3630,0.6090,0.1600,0.8500,1.2700
-28.8218,31.9391,0.0040,0.0850,0.2410,1.0970,0.0700,0.4200,2.4200
-28.8814,31.906,0.0020,0.2660,0.0560,0.6060,0.1230,0.2020,0.0130
-28.5913,31.8358,0.0020,0.3880,0.0900,0.6430,0.2420,0.2350,0.0500
-34.0501,24.4539,0.0020,0.1750,0.0660,0.9340,0.1610,0.1450,0.0160
-34.1624,24.6581,0.0050,0.0940,0.0950,0.4300,0.1630,0.1200,0.0200
-34.157,24.6507,0.0030,0.1040,0.0380,0.5820,0.1260,0.0860,0.0070
-34.1258,24.5025,0.0030,0.0800,0.0670,0.5490,0.1390,0.0850,0.0100
-34.0168,24.1351,0.0030,0.2810,0.1070,1.3140,0.2600,0.3300,0.0430
-34.0746,24.2659,0.0060,0.1150,0.0770,1.0060,0.1630,0.1240,0.0100
-34.0321,24.1422,0.0090,0.1890,0.0390,0.7430,0.2500,0.0950,0.0100
-33.5589,26.9662,0.0020,0.2620,0.2310,0.3710,2.6800,0.1590,0.1560
-33.3019,26.8202,0.0040,0.2410,0.9350,2.9160,0.3300,2.3200,3.8700
-33.4326,26.3218,0.0200,0.2550,0.2400,0.5160,1.0000,0.3310,0.1490
-33.5786,26.7813,0.0010,3.2030,0.3030,0.6210,0.3230,0.2580,0.3800
-33.5345,26.6882,0.0070,0.8540,1.3090,0.4630,0.3600,0.4000,0.7500
-33.5765,26.7489,0.0040,0.4610,0.4070,1.6670,0.2700,0.9200,0.3180
-33.6159,26.7621,0.0120,0.3190,4.4180,2.6980,1.2200,1.2200,7.6500
-33.4961,26.8148,0.0060,0.2520,1.5580,2.1020,1.1800,1.1500,3.3700
-33.44,26.7545,0.0050,0.2940,1.0990,2.4970,0.7800,0.9300,2.6800
-33.5043,26.8365,0.0040,0.2610,0.8620,1.8200,0.3900,0.6400,0.7400
-33.9667,23.85,0.0110,0.1900,0.0750,0.9550,0.9400,0.2500,0.0210
-33.9667,23.9667,0.0120,0.0760,0.0720,0.2530,1.2590,0.3160,0.0170
-33.9667,23.9333,0.0060,0.1190,0.0680,0.7430,0.6620,0.1720,0.0150
-33.9667,23.9667,0.0070,0.0850,0.0820,0.6730,0.4200,0.5500,0.0190
-34.071,24.2321,0.0090,0.1650,0.2330,2.8300,1.2100,1.4300,0.0540
-33.2823,26.8933,0.0060,0.0810,0.0830,1.9770,1.5500,1.5500,2.9400
-33.1999,26.4163,0.0170,0.2420,2.9740,2.9690,1.4700,1.3600,4.3000
-33.2359,26.0928,0.0020,0.3640,0.3910,1.8350,0.3100,0.7300,0.1080
-33.3028,26.0373,0.0190,0.0770,0.8420,2.9400,0.8600,2.1400,3.9500
-33.3501,26.1997,0.0060,0.2400,3.9880,5.9010,1.8100,3.1400,8.3200
-33.3626,26.2539,0.0000,0.2930,0.3070,1.0640,0.2200,0.4600,0.1560
-33.501,27.0635,0.0020,0.2660,0.1770,0.3690,0.1950,0.1080,0.1770
-32.5969,25.866,0.0070,0.2260,1.1140,1.9470,0.3440,1.1800,2.0700
-32.7596,26.0348,0.0100,0.2460,3.1780,1.9770,1.2100,3.0800,2.1400
-32.7873,26.0201,0.0070,0.2490,1.9230,1.4040,0.8400,2.0800,2.9100
-33.2999,26.7644,0.0590,0.1940,41.5800,1.2310,0.6000,13.0020,12.7560
-33.046,25.991,0.0210,0.0900,1.8380,2.5430,0.4300,1.4100,4.9000
-33.8996,25.0673,0.0060,0.0920,1.4200,1.7940,0.5420,1.5100,3.8840
-33.9751,25.4811,0.0030,0.1180,0.0410,0.5260,0.1400,0.3600,0.0220
-33.9869,25.3706,0.0060,0.1070,0.1580,0.6040,0.2240,0.4690,0.1880
-33.9795,25.4169,0.0030,0.1120,0.0500,0.4430,0.1870,0.1190,0.0320
-33.9867,25.4854,0.0030,0.1050,0.0710,0.2600,0.1820,0.0940,0.0690
-34.0048,25.5047,0.0040,0.1120,0.1060,0.6800,0.1760,0.1420,0.0610
-34.0029,25.4986,0.0100,0.1250,0.2530,0.9730,0.2330,0.1640,0.0780
-34.0121,25.4964,0.0150,0.0960,0.1420,0.2220,0.4780,0.1800,0.4600
-33.7314,25.5953,0.0110,0.0840,0.2370,0.6580,0.6700,0.4400,0.1090
-33.7469,25.594,0.0090,0.0820,1.0540,1.7390,0.3400,2.5000,2.9800
-33.5937,25.5344,0.0060,0.1070,0.6840,1.1420,0.3100,0.8200,2.0200
-33.5314,25.5858,0.0180,0.1180,1.3090,2.2650,0.9800,2.3200,1.8300
-33.9485,24.5996,0.0030,0.1250,0.0590,0.7190,0.2260,0.1610,0.0450
-34.0017,24.922,0.0080,0.0760,0.4280,3.8050,0.6600,0.7400,3.7900
-34.0017,24.922,0.0040,0.2950,0.6990,3.1600,1.8800,1.1800,1.9900
-34.0665,24.8797,0.0130,0.1000,1.1820,4.4480,1.3000,2.2700,3.8800
-34.0316,24.8863,0.0060,0.1190,0.1620,2.1010,1.9800,0.4300,0.2170
-28.8339,26.8107,0.0090,0.0910,0.8420,1.1310,0.2300,1.4100,1.5300
-28.8921,26.9592,0.0130,0.0840,1.1180,2.0400,0.5700,1.9500,4.3000
-29.1232,26.922,0.0090,0.0930,0.4520,2.2530,0.2000,2.1800,2.6400
-28.8926,27.0141,0.0100,0.0970,0.7850,1.6050,0.6800,2.1900,2.8600
-28.8994,26.7655,0.0090,0.0830,1.0670,1.8240,0.1700,2.0200,3.6700
-28.6463,26.7425,0.0070,0.0810,0.5140,0.9640,0.2600,1.5400,1.6300
-28.6912,26.8515,0.0230,0.2960,4.0270,0.9780,0.4500,8.9500,8.1200
-28.6566,26.6885,0.0120,0.0940,1.5530,1.9790,0.4000,2.7000,2.9800
-28.458,26.9602,0.0140,0.0920,2.1250,1.3040,0.3600,4.2000,1.9000
-28.4984,26.966,0.0160,0.1030,2.6670,1.8670,0.7000,4.5400,3.4400
-28.4859,26.9076,0.0210,0.1210,1.1310,0.5640,1.3700,4.0600,3.9000
-28.4654,26.8677,0.0170,0.1300,4.7270,2.1340,0.4000,4.8400,5.6600
-29.014,27.1403,0.0080,0.0870,0.5260,1.1560,0.3000,1.6600,1.5800
-28.4399,27.2685,0.0050,0.0980,0.2680,1.4200,0.2400,1.2400,1.5200
-28.6911,27.176,0.0150,0.1170,1.3000,2.3260,2.8400,2.6300,4.1700
-28.4069,27.1849,0.0100,0.1040,0.8550,1.6500,0.5900,1.5000,2.9200
-29.1322,26.7802,0.0140,0.0990,1.2740,1.4870,0.6000,2.4900,1.9700
-28.8955,26.7818,0.0050,0.1090,1.1130,1.4430,1.0000,2.0300,3.1600
-28.8433,27.1989,0.0030,0.1040,0.5270,1.6620,0.7700,1.3000,1.6600
-29.3155,26.7784,0.0080,0.1040,0.8470,1.1180,0.4200,1.8100,1.8700
-29.4588,26.5753,0.0220,0.1090,4.5060,4.0800,0.4700,3.8200,4.3000
-29.4511,26.6742,0.0180,0.1040,1.3010,2.2430,0.8700,2.5800,3.2200
-29.233,27.0241,0.0060,0.0920,0.6660,0.9460,0.2200,2.3600,1.3500
-29.4188,27.033,0.0180,0.1070,1.3990,1.5110,1.1400,2.6000,1.6500
-29.265,27.0163,0.0060,0.1030,0.6850,0.9500,0.4900,2.0900,1.0200
-29.3449,26.9904,0.0050,0.1050,0.7190,1.1830,0.4200,2.1400,1.9200
-29.3364,26.9901,0.0070,0.0990,0.8070,1.1040,0.4400,2.0600,2.0800
-27.1433,31.0642,0.0040,0.0970,0.3030,2.4340,0.3200,5.5700,5.1600
-26.5713,30.4844,0.0020,0.1710,0.0580,2.3110,0.2800,1.5500,0.1210
-25.8333,28.95,0.0220,0.2220,6.8870,10.6880,1.5800,4.9800,7.0300
-25.8167,28.9,0.0030,0.1350,0.0700,6.0840,0.1600,0.9000,0.0820
-25.7667,28.6667,0.0020,0.0680,0.0430,4.0790,0.0700,1.2700,0.4160
-25.8167,28.55,0.0010,0.1260,0.1290,1.5730,0.1200,0.8200,0.1240
-25.85,28.5667,0.0040,0.1210,0.0720,1.1240,0.1500,0.9700,0.1990
-25.8833,28.6,0.0020,0.2070,0.4170,2.4140,0.5900,1.4600,0.2200
-25.9,28.6333,0.0010,0.1200,0.0890,1.5660,0.1700,0.6400,0.4800
-25.9667,29.5333,0.0030,0.1120,0.3620,2.9740,0.2400,1.0400,1.1000
-25.95,28.55,0.0020,0.1220,0.0710,2.0720,0.1600,0.4300,0.3000
-25.7833,28.6667,0.0030,0.0470,0.0200,7.0670,1.7000,0.5200,0.0880
-25.7,28.6667,0.0000,0.1040,0.0220,2.3430,0.1000,1.1800,0.9100
-25.5667,28.6,0.0150,0.1130,1.7580,5.0280,0.8000,8.5700,16.2200
-25.6333,29.5667,0.0080,0.1000,0.4520,1.4590,0.2000,0.9800,0.7000
-25.7,28.9333,0.0100,0.2240,6.4920,4.2590,0.4300,5.0900,7.5600
-25.7167,28.8,0.0050,0.1100,1.5270,1.5010,0.3600,1.2200,3.1100
-26.1612,28.6384,0.0070,0.1370,0.3160,1.9930,0.5000,2.6600,2.2000
-26.0815,28.3849,0.0080,0.1450,1.0980,1.2970,1.3400,1.5100,1.0600
-25.7902,30.7937,0.0030,0.4580,0.2370,1.3350,0.3300,1.6000,0.3050
-25.6138,31.645,0.0020,0.1490,0.3420,0.9550,0.2700,0.4100,0.5150
-25.642,30.8527,0.0040,0.2110,0.2170,1.3640,0.2400,1.5100,0.4220
-25.6447,30.8484,0.0020,0.1310,0.0780,1.2740,0.2700,1.2700,0.6000
-25.7077,30.834,0.0000,0.1130,0.0310,1.2780,0.1000,0.3400,0.3970
-25.8069,30.986,0.0040,0.1050,0.3360,0.6520,0.2800,0.8000,2.3400
-25.8506,30.8415,0.0010,0.3510,0.4210,1.1780,0.3200,1.7700,1.4000
-25.8333,30.8167,0.0020,0.5080,0.4990,5.1720,0.2800,3.4000,1.3000
-25.45,31.9,0.0120,0.0970,0.2710,6.0910,1.5000,5.0400,3.0100
-25.45,30.9833,0.0050,0.0990,0.0890,2.1800,1.1600,3.7400,0.5000
-25.4465,30.9695,0.0130,0.2830,1.7440,6.9080,2.1400,4.9200,5.4400
-25.4348,30.9926,0.0020,0.0960,0.0680,4.2920,0.1600,0.2600,0.3290
-25.4458,30.9921,0.0020,0.0940,0.1370,1.8540,0.6200,0.3300,1.0300
-25.45,30,0.0430,0.1840,5.6450,0.6100,0.4380,5.6720,7.5390
-25.45,30.9833,0.0010,0.1220,0.0410,0.4410,0.1600,0.1570,0.0210
-25.4552,30.9942,0.0020,0.1390,0.1230,4.1250,0.2200,0.8000,1.2100
-25.5096,30.5134,0.0050,0.4030,0.5530,2.5570,0.4700,4.3500,1.5900
-25.5618,30.603,0.0040,0.3740,0.1360,2.6270,0.2800,1.9500,0.0890
-25.3917,30.6033,0.0020,0.1050,0.4440,1.2560,0.1500,1.9100,1.8700
-25.5147,30.8847,0.0020,0.1510,0.0710,3.7860,0.3200,0.8100,0.4290
-25.5439,30.8329,0.0040,0.3270,0.8720,1.6100,0.4200,6.1400,8.3300
-25.6781,30.7665,0.0020,0.3060,0.1770,1.1900,0.1700,1.3500,0.9800
-25.5756,30.7187,0.0020,0.1190,0.2040,1.8950,0.2000,3.4900,4.6700
-25.5294,30.742,0.0010,0.1620,0.1680,2.2680,0.1500,2.1800,13.6600
-25.5021,30.7944,0.0010,0.1380,0.0530,1.6430,0.1000,0.5000,0.0510
-25.6101,30.4858,0.0050,0.1120,1.5730,2.7790,0.2500,4.8600,6.3200
-25.4333,31.95,0.0100,0.1150,1.1560,0.1890,0.2200,5.5100,0.3290
-25.5386,31.8425,0.0100,0.1690,13.5540,1.1210,0.3800,6.2100,6.0200
-25.5167,31.7,0.0040,0.1230,3.8170,1.9870,0.2100,1.8100,2.3800
-25.6879,31.9223,0.0160,0.1160,0.7740,0.2850,0.5200,5.7200,0.7600
-25.8366,31.9092,0.0140,0.0960,3.9300,1.5460,0.5100,7.4600,5.5100
-25.7333,31.8444,0.0200,0.1070,5.9490,4.3520,0.6900,7.3100,12.5600
-25.7344,31.824,0.0100,0.0990,2.5200,1.1980,0.4600,4.9900,6.2400
-25.646,31.8046,0.0230,0.0930,4.6880,1.1910,1.4600,36.2700,18.4800
-25.864,31.71,0.0120,0.0000,6.2200,12.0260,0.7900,2.4900,4.8100
-25.7167,31.9,0.0260,0.0000,4.7360,4.1130,0.5000,20.2800,13.0400
-25.6027,31.6607,0.0130,0.0000,2.4930,3.8630,0.4600,2.0700,3.5000
-25.6275,31.5532,0.0120,0.0000,3.0340,3.6420,0.3600,18.1200,30.7200
-25.6798,31.5567,0.0140,0.0000,19.7870,5.6100,0.5100,13.7400,37.2000
-25.6833,31.55,0.0370,0.2160,11.1070,1.8690,0.6570,6.0490,6.3510
-25.6833,31.5167,0.0040,0.0000,4.4100,4.7740,0.1100,4.3800,7.3000
-25.617,31.8649,0.0070,1.4420,0.8680,1.0080,0.1900,5.6700,2.2800
-25.4031,31.9261,0.0120,0.0000,2.2850,2.8650,0.3600,26.8200,14.5700
-25.584,31.8325,0.0180,0.0000,11.8150,1.2350,0.3100,4.2300,4.8600
-25.4889,31.6744,0.0040,0.0000,0.2860,6.6000,0.1300,0.3300,0.7300
-25.5241,31.3381,0.0270,0.0000,5.3050,6.1280,1.1500,5.1600,10.6300
-25.8566,31.7777,0.0090,0.3480,1.7440,6.5560,0.2000,2.6600,1.0600
-28.0921,26.2711,0.0080,0.0000,0.3680,4.6150,0.7900,0.3600,1.2600
-27.9345,31.2066,0.0130,0.1300,0.6960,2.2960,0.3000,1.3900,1.1800
-27.9232,29.9078,0.0060,0.0000,0.2510,2.5320,0.0500,0.2400,1.1800
-27.1709,26.1033,0.0100,0.0000,1.5740,4.6020,0.4700,1.4200,3.2600
-27.2576,31.0066,0.0040,0.0000,0.0880,3.7870,0.0400,0.5800,1.0300
-26.7118,25.6866,0.0070,0.0000,0.6990,3.4090,0.1700,0.3500,2.7200
-26.3741,25.6609,0.0100,0.5520,1.1940,3.8000,0.4300,0.9200,3.2800
-27.5105,28.152,0.0070,0.0000,0.5460,4.7000,0.2800,1.5100,0.9800
-27.4612,28.0686,0.0060,0.0000,0.5810,6.7530,0.2000,2.0600,2.8100
-27.4661,28.0453,0.0110,0.0000,0.9760,17.2820,0.2100,3.4500,5.6600
-27.8395,28.1215,0.0040,0.0000,0.3830,11.0980,0.0900,2.8600,3.9500
-27.9767,28.1298,0.0230,0.0000,3.2970,10.6170,0.3900,4.2000,3.6800
